title,tags
veerana,a beauti young girl possess from childhood by a veng spirit wander around lone place to seduc and kill peopl and thus gradual becom lost in a dark world of reveng and lust action drama horror hemantbirj jasmin sahilachaddha kulbhushankharbanda satishshah hemant jasminm pratap sahila pratap thakurmahendrapratap hitchcock shyamramsay
yaarana,bishan lose his fortun while help his friend kishan in his sing career now success will kishan return the favour action romanc friendship singer amitabhbachchan neetusingh kaderkhan amjadkhan gogakapoor kishankumar komal johnni bishan rakeshkumar
xcuse me,bantu and chantu are unemploy and are not abl to get ani job due to lack of experi they come across an advertis for a hotel manag program in goa and make their way there onc there they hoodwink the trainer by pose as the nephew of the owner of the hotel and thus enrol themselv in the train cours in the cours of the program they expos sever employe and guest as cheat earn their wrath but also the admir of the two daughter of the hotel owner thing turn sore for the two when the guest and former employe get togeth to aveng their humili comedi sharmanjoshi sahilkhan snehaldabi sudhirdalvi mushtaqkhan bantu chantu hotelown kelkar gome n chandra
chalo dilli,lara dutta accompani by vinay pathak rediscov the color of india in their journey to delhi comedi laradutta vinaypathak mihikabanerje manugupta shashantshah
taj mahal,taj mahal is a 1963 film base on the histor legend of the mughal emperor shah jahan as per the legend shah jahan creat the taj mahal in fond remembr and as a tomb for his belov wife mumtaz mahal it was a commerci and critic hit but is rememb most for it music romanc drama histori mughalempir 17thcenturi tajmah india binarai pradeepkumar jabeenjalil veena helen arjumanbanu mumtazmah shehzadakhurram shahjehan ladlibanoo empressnurjahan tawaif courtdanc m sadiq
bahut hua sammaan,with their plan heist gone wrong boni and fundoo get inextric involv in the pursuit of kohinoor quit possibl the biggest scandal the countri will ever wit comedi crime drama sanjaymishra raghavjuy ramkapoor abhishekchauhan nidhisingh bakchodbaba boni lovelysingh fundoo bobbytiwari ashishr shukla siddharthanandkumar
dancer,malti wit a physic alterc between her husband and rai bahadur brijbhushan sharma as a result of which her husband get knife and kill as she tri to take the knife out the polic arriv arrest her and hold her in a cell it is here that brijbhushan visit her and warn her not to testifi against him as he will kill her son raju malti accept full respons of her husband s death is found guilti and sentenc to 14 year in jail after her discharg she is releas and find out that raju is now known as raja is veri popular dancer and singer she also get to meet radha and her brother dattu who are look after raju and hope that her son will eventu marri radha she subsequ come to know that raju love priya who is the daughter of none other than brijbhushan malti is not readi to expos brijbhushan as her husband s killer she has other plan for him and none of her plan includ priya as her futur daughter in law action falselyaccus murder akshaykumar kirtisingh mohnishbehl laxmikantberd maheshanand raju raja radha dattu ssister mohnish dattu mohnish sgoon kishorevya
satyamev jayate,after a young man is kill in custodi inspector arjun singh is transfer to the small town of tehsil where his new neighbour happen to be the famili of the young man who die action drama music remak jobtransf vinodkhanna meenakshiseshadri madhavi anitaraj asrani policeinspectorarjunsingh seema poojashastri vidyakaul mewaram rajn sippi romun sippi
footfairy,the plot is set in mumbai a citi of dream and land of opportun the psycholog crime thriller showcas an intrigu chase between a serial killer with a distinct fetish and cbi offic name gulshan in the serial killer s point of view the film explor the fugit s darkest desir for momentari pleasur crime thriller gulshandevaiah sagarikaghatg kunaalroykapur ashishpathod kanishkvarma
always kabhi kabhi,four student come of age dure a year at their school st mark with various encount comedi crime drama romanc highschool policecorrupt highschoolstud stagemoth alifaz zoamorani lilletedubey satishshah gisellimonteiro sameera khanna sammi nandinioberoi ms das agent aishwaryadhawan jigneshrathod gaurikhan
sangharsh,a rooki cbi offic must enlist the help of an incarcer crimin in order to catch a serial child killer who has recent escap polic custodi thriller serialkil ashutoshrana preityzinta vishwajeetpradhan amanverma aliabhatt lajjashankarpandey reetoberoi cbihead amit youngreet specialappear tanujachandra mukeshbhatt
luv shuv tey chicken khurana,on the run from the london mafia omi return to his ancestr villag a place he d flown from with his grandad s money and grander london dream will omi be abl to hide his failur while chase love and the lost recip of the infam dish chicken khurana comedi restaur senil debt redempt punjab kunalkapoor humaqureshi mukeshchhabra vipinsharma rajeshsharma omi harman love keharsingh titumama anuragkashyap siddharthroykapur
ajooba,this is a stori of ajooba the mask legend who was treat as the onli protector of the peopl of baharistan ajooba is none other than ali the real heir to the kingdom of baharistan unfortun for ali when he was just born his father and mother were overthrown by the evil design of the vazir ali surviv as destin and was brought up by a blacksmith who was unawar of ali s real ident in the guis of ajooba ali take up the veri difficult task of find his lost parent and then to re instat them to the throne with great honour action adventur fantasi superhero reveng amitabhbachchan dimplekapadia rishikapoor shammikapoor bakhtawarmuradkhan ajooba ali rukhsanakhan hassan sultanofbahristan shehzadiheena gennadivasilyev
jugjugg jeeyo,a marriag a re marriag a pend divorc it s been five year sinc kukoo and nainaa got marri after know each other practic all their live and now they need to break it to their famili that they want a divorc kukoo s parent bheem and geeta a coupl that everyon look up to have no plan of make kukoo and naina s live easier they have their own plan and set of surpris in store for the young coupl all this in the middl of kukoo s sister s wed comedi drama husbandwiferelationship marriag divorc reconcili anilkapoor neetusingh varundhawan kiaraadvani prajaktakoli bheemsaini geetasaini kuldeep kuku saini nainasharma ginnysaini anuragsingh karanjohar
line of descent,a classic crime narrat in the backdrop of delhi merg a dysfunct mafia famili at war with each other as an undercov offic fight his demon by assist in their downfal crime drama brendanfras premchopra abhaydeol ronitroy neerajkabi charli charu jolpin bharatsinha officerraghav prithvisinha siddharthsinha geoffreymiclat
zid,a journalist who is still in love with his ex girlfriend becom the obsess of his landlord s daughter thriller romanc lovetriangl obsess vertigo hit and run goa crimereport eroticthril mannarachopra karanvirsharma shraddhada seeratkapoor mohankapur maya rohan priya nanci newpapereditor vivekagnihotri
aakhree raasta,david is an old prison releas after twenti four year in a penitentiari for a crime he hasn t commit the three men who frame him and sent him away are now promin citizen of his town david walk out of the prison straight into a confession booth at his church he tell the priest that he is about to kill three promin men for which he seek god s pardon in advanc he must find his old friend bootlegg and the custodian of david s onli son david had believ in his friend to bring up his son as the worst crimin and seek reveng from the men who put him away on meet him david find that his son is a cop instead devast david continu on his own when he is about to kill the three men his son has vow to protect the citizen under ani circumst david and his son are at war who will prevail crime action drama amitabhbachchan jayaprada sridevi anupamkh omshivpuri david jamesd costa maryd d costa vinitabhatnagar maheshsandaliya d i g s k bhatnagar a purnachandrarao
tahaan,a tender fabl about childhood innoc amid the realiti of war is set against the rug landscap of kashmir so long a flash point for the territori claim of neighbor india and pakistan the titl charact an eight year old mountain boy often hear distant gunfir but it is not until he goe on a quest to reclaim his belov donkey which has been confisc as payment of his poor famili s debt that he is drawn toward a violenc he has no capac to understand drama victorbanerje puravbhandar rahulbos ankushdubey rasikadug grandfath tahan zafar idre nadira santoshsivan
amrapali,after a fail conquest emperor ajaatshatru pretend to be a soldier in the enemi s armi to weaken them from the insid howev he fall in love with amrapali by fake his ident war fantasi histori vyjayanthimala sunildutt premnath bipingupta gajananjagirdar amrapali magadhsamratajaathashatru senpativeerofmagadh vaishali ssamrat kulpatimahanam lekhtandon
nazar andaaz,sudhir blind by birth live alon with his housemaid bhavani while bhavani is out he take in ali to help around the hous both bhavani and ali grow envious of each other nazar andaaz is a comed yet heartfelt stori of these three comedi drama kumudmishra divyadutta abhishekbanerje rajeshwarisachdev sudhir bhavani ali mouni vikrantdeshmukh bhushankumar
bombay velvet,an ordinari man who goe against all odd to forg his own destini and becom a star in the glitter sky of bombay thrive on jazz and violenc crime thriller jazz boxer gangster organizedcrim neo noir ranbirkapoor anushkasharma karanjohar kaykaymenon satyadeepmisra johnnybalraj rosi kaizadkhambatta inspectorvishwaskulkarni chimman anuragkashyap vikasbahl
andolan,adarsh sanjay dutt and aniket govinda are brother aniket is the elder while adarsh is the younger one both go to the same colleg where beauti guddi mamta kulkarni has a crush on him and vice versa meanwhil adarsh is up to colleg prank and practic joke one of these prank and joke land him into troubl in a girl onli hostel when the time come to leav colleg and seek a career both brother chose a differ path one of which lead to the destruct and separ of their famili will they reunit in the end drama action comedi ishratali somyali divyabharti sanjaydutt vikramgokhal azaddeshpand anita herself dedic archivefootag adarshpradhan pradhan azizsejaw sajidnadiadwala
beta,beta is the stori of raju the onli child of a widow multi millionair raju s father can provid him anyth he want but raju s onli desir is to get mother s love in order to pleas raju his father get marri to nagmani think that she will take care of raju more than his real mother would raju becom complet devot to his stepmoth do whatev she wish time pass by raju grow up and get marri to saraswati saraswati discov that nagmani s mother love for raju is fake and all what nagmani is interest in is captur raju s wealth drama famili anilkapoor madhuridixit arunairani laxmikantberd priyaarun raju saraswati laxmi pandu champa indrakumar
armaan,dr siddharth sinha is a dedic selfless doctor who dream of build a state of the art hospit with all the modern instrument and amen for patient care his foster son akash share his dream akash fall in love with neha mathur an anaesthetist in the same hospit in a friend s parti akash meet sonia who is a spoilt daughter of a millionair gulshan kapoor sonia develop an infatu for akash gulshan kapoor propos to dr siddharth sinha that he will donat a big sum of money to his hospit on the condit that akash marri sonia dr siddharth sinha declin but die of a heart attack a few day later burden with fulfil his father s dream akash decid to marri sonia sacrif his own love but even after marriag sonia is jealous of neha and constant accus akash of infidel which leav him in a dilemma torn between two women drama romanc womandirector amitabhbachchan anilkapoor preityzinta gracysingh aamirbashir dr siddharthsinha dr akashsinha soniakapoor dr nehamathur dr sanjay dineshgandhi
kartavya,karan and his mother live a happi life and he is soon to be marri to kajal but on the day of his engag he discov his mother is not his biolog mother action drama thriller sanjaykapoor juhichawla amrishpuri ompuri gulshangrov karansingh kajalsahay thakurugranarayansingh ghulamrasul inspectortribhuvan rajkanwar
laal rang,the live and friendship of two men involv in blood theft and trade are affect by greed girlfriend cop and an unexpect death comedi crime drama thriller love crimin randeephooda piabajpie rajneeshdugg meenakshidixit akshayoberoi poonamsharma syedahmadafz
shikhar,jai vardhan is influenc by an overambiti man he is unabl to differenti the good from the bad and is carri over into a world full of women and wealth drama ajaydevgn bipashabasu shahidkapoor amritarao javedsheikh gaurav g g gupta natasha jaidevvardhan madhavi srikantvardhan ajoyvarma k s ramarao
dassehra,honest inspector aditi singh and hard boil cop rudra investig a multipl suicid case they stumbl upon a darker truth revolv around the corrupt politician yadav and shankar the polit nexus forc rudra to becom the angri young man and one man armi all roll into one thriller policeinvestig suicideinvestig neilnitinmukesh tinadesai govindnamdeo ashwinikalsekar muralisharma rudrapratapsinghchauhan aditisingh prasadilalyadav kanchandevi subinsp dular aparnahosh
king uncle,ashok bansal has a traumat childhood which teach him that money matter most to peopl even more than their kid ashok start hate poor peopl start work hard to get out of poverti at the expens of his own famili howev ashok s life chang forev when munna enter his life comedi famili jackieshroff anuaggarw shahrukhkhan nagma poojaruparel ashokbans fennifernando anilbans kavitabans munna anuragsingh rakeshroshan
unpaused,an antholog that bring five uniqu creator and filmmak to tell stori about love happi friendship new begin second chanc and a glimmer of hope set and film in the time of the covid 19 lockdown comedi drama hope love secondch newbegin shotinlockdown gulshandevaiah saiyamikh richachadha ishwaksingh sumeetvya ahanawasti segment glitch ayeshahussain segment glitch devikakhanna segment theapart chirag segment theapart sahilkhanna segment theapart nikkhiladvani sanjeevkumarnair
kohram,major balbir singh sodhi amitabh bachchan attempt to kill the indian home minist veer bhadra singh danni denzongpa but is unsuccess he has been identifi and the armi is on the look out for him to court martial him they suspect that he has assum a new ident that of devraj hathoda alia dadabhai action drama thriller crime amitabhbachchan nanapatekar tabu jayaprada col balbirsinghsodi akadevrajhathoda dadabhai maj ajitarya insp kiranpatekar amritasodi mehulkumar
love,a man meet and fall in love with a beauti woman howev due to his violent background her parent are against the relationship after the coupl show no sign of break up her mother has the man arrest action romanc salmankhan ritabhaduri shafiinamdar amjadkhan revathi prithvi stellapinto johnpinto guruji maggi sureshkrishna shyambajaj
mujhse fraaandship karoge,two incompat collegian with fake social network id are assign to work togeth for their institut s annual celebr drama comedi romanc saqibsaleem sabaazad tarad souza nishantdahiya manasirachh vishalbhat preitysen malvikakelkar rahulsareen neha nupurasthana
good luck jerry,in dire need of money jerri get drawn into the danger world of drug traffick thing go awri when she decid to quit comedi crime drama remak basedonmovi janhvikapoor deepakdobriy mitavasisht neerajsood sushantsingh jayakumariakajerri rinku sarbati anil daler nelsondilipkumar aanandl rai
ilzaam,when aarti s father disapprov of ajay s poor status ajay goe away from her life when she final meet him he claim to be vijay meanwhil vijay s policeman brother make a shock discoveri famili drama shashikapoor shatrughansinha anitaraj neelamkothari govinda igpranjitsingh surajprasad kamal aarti asneelam ajaykumar shibumitra pahlajnihalani
bye 2,shreyatyagi vipinsingh karanmehra bhushan tanveerhashmi
jeeva,the plot revolv around jeevan thakur s fight against the local cun money lender lala his alli inspector dushant singh with reveng for kill his parent music thriller action sanjaydutt mandakini amjadkhan shaktikapoor sachinpilgaonkar jeeva jeevanthakur nalini sardar lakhan gopalsingh rajn sippi romun sippi
selfiee,bollywood superstar vijay kumar need to obtain a new drive licens from rto offic om prakash agarw a diehard fan of vijay but a misunderstand lead to a war of word between the two eventu escal into a feud which is play out in front of the media and the entir countri comedi drama action remak moviestar superstar basedonmovi akshaykumar emraanhashmi nushrrattbharuccha dianapenti meghnamalik vijaykumar omprakashaggarw minti naina kamlatiwari rajmehta karanjohar
commando,satish want his onli son chander to be physic fit and join the armi while satish is protect the life of mrs indira gandhi he is kill by three men his wife goe insan and his son is orphan now chander has grown up and has join the armi as a commando the command of his compani mirza is corrupt and is protect the interest of intern crimin don marcelloni by steal arm and ammunit chander attempt to bring this to the attent of the owner of the arm depot kailashpuri malhotra who disbeliev him but mr malhotra s daughter asha believ him as well as love him and she along with jhum jhum and dilher singh tri to expos what s go on chander also find out that the three men who kill his dad also belong to this gang but then marcelloni abduct asha and use chander as a pawn to get what he want spread nationwid terror drama action romanc martialart ninja mithunchakraborti mandakini hemantbirj kim dannydenzongpa chander ashamalhotra dilhersingh jhumjhum ninja babbarsubhash
department,a polic inspector recruit a suspend cop for a special task forc to battl organ crime action thriller amitabhbachchan sanjaydutt ranadaggubati lakshmimanchu deepaktijori sarjeroagaikwad inspectormahadevbhosl inspectorshivnarayan mrs padminimahadevbhosal inspectordanaji ramgopalvarma siddhantoberoi
vadh,shambhunath mishra a retir middl school teacher is live a mundan middl class life with his wife manju mishra in gwalior life take a complet turn for the mishra famili when a situat get out of hand and it lead to a kill at the hand of shambhunath mishra mishra ji has veri littl time to plan cautious to turn this into a perfect murder and leav no trace behind crime thriller sanjaymishra neenagupta manavvij saurabhsachdeva umeshkaushik shambhunathmishra manjumishra shaktisingh prajapatipandey navin luvranjan jaspalsinghsandhu
dulhe raja,poor raja open a fast foot restaur right opposit a five star hotel run by it owner singhania earn his wrath the wealthi hotel owner use all his influenc to remov raja but in vain thing get wors for the wealthi man when his daughter kiran want to marri the poor hoteli the wealthi man refus lead to a confront and a condit which raja fulfil he becom rich virtual overnight and propos for the hand of kiran the wealthi hoteli reluct accept him as his son in law onli to have kiran elop with a man name rahul comedi romanc govinda raveenatandon kaderkhan premchopra mohnishbehl raja kiransinghania k k singhania bishambarnath rahulsinha harmeshmalhotra
anari no. 1,mistaken ident lead to laugh in this comedi star govinda as a hotel waiter name raja who set out to find a rich woman to marri sapna raveena tandon catch his eye but she believ raja is rahul saxena also govinda a suav playboy and raja s spit imag when the error is reveal she conspir with raja and a friend to kidnap the real rahul and send raja to take his place simran and arunai irani co star comedi govinda raveenatandon simran arunairani kaderkhan raja rahulsaxena sapna sona mrs shardasaxena k k sandeshkoh
army,arjun an armi man who is newli wed is brutal kill by a gangster nagraj his wife who is determin to aveng her husband rais an armi of dedic young men to kill the gangster action drama armi imauftragderlieb imauftragderlieb sridevi shahrukhkhan mohnishbehl tinnuanand dannydenzongpa geetasingh arjunsingh kabir pancham naagraj mukulanand nitinmanmohan
indoo ki jawani,a feisti girl from ghaziabad make her profil on an onlin date app and her left and right swipe on the app lead to hilari consequ comedi kiaraadvani adityas mallikadua rakeshbedi rajendrasethi indiragupta indoo samar sonal prem ranjit nikkhiladvani bhushankumar
chalti ka naam gaadi,three woman hate brother face chang in their respect lifestyl when two of them fall in love comedi kishorekumar ashokkumar madhubala anoopkumar helen manmohan manu sharma brijmohansharma renu jagmohan jaggu sharma dancer singer satyenbos
shor in the city,various resid and career crimin face challeng in crime laden mumbai crime drama sendhilramamurthi tussharkapoor nikhildwivedi preetidesai sundeepkishan abhay tilak ramesh shalmili sawan krishnad k ektakapoor
luv ka the end,rhea is the typic girl next door who is in love with luv nanda a rich and famous boy in colleg as they plan to take their relationship to the next level rhea realis that luv is not as nice as she thought so she decid to get even and bring luv down all in the span of one night buckl up for one crazi night as the girl discov the mean of love life friendship and more comedi drama friendship love reveng comingofag relationship shraddhakapoor taahashah errolmark meherzanmazda pushtiieshakti rheadialda luvnanda golu timmi jug bumpi adityachopra
aur pyaar ho gaya,grandpa and grandma kapoor live a wealthi life style with their onli widow son kailashnath and his daughter ashi who is of marriag abl age kailashnath arrang his daughter s marriag with his friend the equal wealthi mr malhotra s son rohit ashi approv of this match but would like to evalu rohit s person befor marri him she find out that rohit is in switzerland and travel there to meet with him at the airport she doe meet with a male and take him for rohit and thus both start to get acquaint with each other onli to find out that he is not the one she is look for her effort to locat rohit are frustrat sinc everi male she think is rohit turn out to be someon els her first acquitt whose name turn out to be bobbi oberoi continu to pursu her until both fall in love back in india bobbi is introduc to the kapoor famili who approv of the coupl s marriag famili romanc drama bobbydeol aishwaryaraibachchan anupamkh shammikapoor priyatendulkar bobbyoberoi ashikapoor rahulrawail
pyaar ishq aur mohabbat,three elig bachelor yash sabharw taj bhardwaj and gaurav saxena all of them attract to the one ladi isha nair while yash is rich wealthi and influenti taj s dad is lord bhardwaj in britain and gaurav is a student work part time isha get to meet and get friend with them all not know that each of them have a motiv and agenda of their own romanc drama music arjunramp sunielshetti aftabshivdasani ishakoppikar keerthireddi gauravsaxena yashsabbarw tajind taj bharadwaj rubainaalam ishanair rajivrai gulshanrai
bheja fry 2,good heart but not world wise the rolli polli tax inspector bharat bhushan vinay pathak is back to fulfil his long cherish dream of becom a singer to further his media ambit he enter a game show hope to win a cash prize with which he can make his own music album eventu bhushan goe on to win the competit which also gift him a free stay on a cruis ship drama comedi vinaypathak kaykaymenon minisshalamba rukhsarrehman sureshmenon sagarballari
plan,to pay off their gambl debt four best friend kidnap an organ crime figur have mistaken him for a wealthi businessman sanjaydutt dinomorea priyankachoprajona sameerareddi sanjaysuri mussabhai bobbi rani sapna lucki hridayshetti
zila ghaziabad,in the citi of ghaziabad gang war break between two rival group led by satbir singh and fauji thakur pritam singh a corrupt polic offic is transfer to the citi to handl the situat action crime drama sanjaydutt arshadwarsi vivekoberoi minisshalamba ashutoshkaushik thakurpritamsingh mahendrafauji satbeer kavita pandit anandkumar manojchaturvedi
welcome to sajjanpur,mahadev shreya talpad is an unemploy graduat with a bachelor of art from satna colleg who is forc to make a live write letter for the uneduc peopl of his villag his real ambit is to becom a novel writer through his humbl occup mahadev has the potenti to impact numer live the movi is a satir but warm heart portrait of life in rural india comedi ruralarea writer shreyastalpad amritarao kunalkapoor ravikishan ravijhank shyambeneg ronniescrewvala
dial 100,the polic emerg control room receiv a call from a woman who sound troubl and want to commit suicid as offic nikhil tri to calm her down he discov that the hyster woman has bought a gun when ask she tell him to stay tune to find out about her real intent but as time progress nikhil figur out that the woman has sinist intent and his famili is in danger mysteri thriller manojbajpaye neenagupta sakshitanwar svarkambl nandumadhav nikhilsood seemapallav prernasood dhruvsood chandu siddharthp malhotra mukeshchhabra
agni rekha,suresh s sanjeev kumar wife die due to some ill leav behind her mother durga khote and two children chunnu and munni time pass kid grow older durga khote want suresh to get marri again but suresh hesit khote s brother want his daughter bindu to marri suresh as he has lot of wealth but suresh doe not like her meanwhil munni and chuunu s teacher goe on month tour leav behind temporari teacher nirmala sharda drama sanjeevkumar sharada sajjan bindu durgakhot maheshkaul
chashme baddoor,seema reject six marriag propos set by her father and leav for goa after jai and omi fail to impress her they come up with a cruel plan when they realis that their friend sid is date her comedi drama roommat malefriendship friend adulthumor alizafar taapseepannu siddharth divyendusharma rishikapoor sid seemaranjan jai omi mr josephfurtado daviddhawan shivajidasgupta
balwaan,a brave cop who has alway stood up to injustic and corrupt run afoul of an influenti gangster when he is assign to mumbai action crime gangster dirtycop honestcop sunielshetti divyabharti dannydenzongpa masterjay avtargil arjunsingh deepasahney bhaiji acp
dharam veer,an astrolog inform satpal singh that his nephew will eventu kill him when satpal s sister maharani meenakshi give birth to twin he has one thrown from the castl wall and action adventur comedi fantasi dharmendra zeenataman jeetendra pran neetusingh dharamsingh rajkumaripallavi veersingh hunterjwalasingh roopa gypsygirl manmohandesai
pinjar,in the day lead up to partit a hindu woman is abduct by a muslim man soon she find herself not onli forc into marriag but live in a new countri as the border between india and pakistan are drawn drama romanc music muslim basedonnovelorbook hindu music pakistan teacher india partit 1940s brothersisterrelationship urmilamatondkar manojbajpaye sanjaysuri sandalisinha ishakoppikar puro rashid ramchand lajo rajjo
miss lovely,a hindi featur film set in the lower depth of bombay s c grade film industri miss love follow the devast stori of two brother who produc sleazi horror film in the mid 1980s drama crime gangster mumbai bombay india murder brotherbrotherrelationship projectionbooth nawazuddinsiddiqui niharikasingh anilgeorg zeenabhatia menkalalwani sonudugg pinki sonika pooja vickydugg poonam nadia ashimahluwalia sanjayshah
bas itna sa khwaab hai,suraj dream of follow in his idol s footstep but as he move to mumbai to follow his dream he discov that follow your dream may have a cost romanc abhishekbachchan ranimukerji sushmitasen jackieshroff gulshangrov suraj pooja laraoberoi navedali sardarsweetysingh tigmanshudhulia
daag: the fire,karan is a former soldier one day when karan find out that his father commit suicid in prison after he is fals charg with a crime he suspect ravi verma a citi attorney who has a wife and a kid when karan spot ravi on the street with his wife kajal he abrupt shoot ravi and kajal howev ravi surviv the murder and kajal end up dead after ravi s releas from the hospit he doe not realiz that he has a new and differ wife who look exact like kajal later on he doe while ravi s life continu karan s reveng also continu against ravi ravi claim that it wasn t his idea to set karan s father up it may be ravi s father in law and his colleagu who may be respons thriller action drama sanjaydutt chandrachursingh mahimachaudhri shaktikapoor sushmaseth captainkaransingh ravivarma kajalverma kajri dr anand dai rajkanwar
india lockdown,the indian govern announc a countri wide lockdown for 21 day due to the pandem india lockdown encapsul the stori of four out of lakh of individu whose live came to a standstil drama adventur shwetabasuprasad prateikbabbar saitamhankar aahanakumra prakashbelawadi mehrunnisa madhav phoolmati moonalv mnageshwarrao madhurbhandarkar jayantilalgada
ramayana: the epic,the film is a retel of the stori of lord rama from his birth until his battl with ravan at sri lanka anim hindumytholog manojbajpaye juhichawla ashutoshrana mukeshrishi ram sita raavan hanuman ketanmehta nirajbhukanwala
azaad desh ke gulam,action drama rekha rishikapoor jackieshroff premchopra pran bharatibhandari vijayshrivastav chanakya inspectorjaikishan jamliya ministernarayanda ashokbhandari s a chandrasekhar
doodh ka karz,suraj is the onli son of widow parvati whose husband was kill he fall in love with reshma after save her life from a snake bite action drama fantasi jackieshroff neelamkothari premchopra arunairani razamurad suraj reshma sampath parvati tantrik ashokgaekwad
mirzya,two star cross lover must battl the forc which tri to keep them apart at differ timelin and at differ world s romanc drama fantasi folktal harshvardhankapoor saiyamikh artmalik k k raina ompuri munish adil suchitra suchitra sfather karan sfather abba rakeyshomprakashmehra dilipshankar
nadiya ke paar,chandan live with his elder brother and uncl one day while go across the river to get some medic for his uncl he meet with gunja and both eventu fall in love fate make gunja s sister roopa get marri to chandan s brother roopa die in a freak accid the famili decid that chandan s brother should get marri again and they propos marriag to gunja will chandan sacrific his love for his nephew and brother will gunja accept her brother in law as her husband drama romanc inderthakur leelamishra sachinpilgaonkar sadhanasingh inderthakur kaaki chandan gunja omkar govindmooni tarachandbarjatya
rocket gang,five friend take a getaway trip and stay at wonder villa but the haunt villa s supernatur power suck them in and their onli chanc to surviv is by danc comedi fantasi horror music danc dancecompetit supernaturalpow adityas nikitadutta jasontham sahajsingh mokshdajailkhani shariqpatel
aashiqui 3,the third instal in the music aashiqui franchis romanc drama romanc kartikaaryan anuragbasu bhushankumar
laadla,laadla is the stori of the kind heart raju who live with his disabl mom one day raju on his way to a job interview save the life of a rich textil mill owner who offer him a job in his factori the mill is run by his ambiti daughter sheetal whose competit attitud and open insult have made her mani enemi raju and sheetal clash often until sheetal tri to get the upper hand by forc raju to marri her even though he has alreadi fallen in love with kaajal drama romanc famili anilkapoor sridevi raveenatandon faridajal arunairani raj raju verma sheetaljetley kaajal gayetriverma bannobi rajkanwar
hum aapke dil mein rehte hain,vishwanath is a multi millionair industrialist who live in a palati hous with his onli chid a son name vijay vijay has been liter born with a silver spoon in his mouth and indulg in life s temptat and weak to the extrem vishwanath would like his son to get marri and be respons vijay agre to get marri on condit that his futur bride sign an agreement that the marriag is on a trial basi for one year and thereaft is vijay doe not fall in love with her the marriag get annul vishwanath ask his person assist megha to quit her job and marri vijay but megha refus megha come from a poor famili consist of her mom two other sister and one brother written by shrikant famili drama romanc anilkapoor kajol anupamkh shaktikapoor parmeetsethi vijay megha mr vishwanath vijay sfather khairatil yeshwantkumar habiebnas
kisna,the film is set in the india of the tumultu 1930 s when nationalist fight for the countri s independ rose up as one urg the british to quit at this time a young indian kisna befriend and then shield a british girl katherin from an enrag mob of nationalist includ kisna s own uncl and brother katherin is the young daughter of a ruthless british collector kisna take it upon himself to escort katherin to the safeti of the british high commiss in new delhi who will arrang for her to board a ship home a tender attract develop between kisna and katherin dure the journey a love stori that is torn between karma the nobl deed and dharma the duti laxmi the indian girl kisna is engag to form the third point in an emot triangl involv the indo british romant pair drama romanc vivekoberoi ishasharvani antoniabernath amrishpuri pollyadam kisna lakshmi katherin bhairosingh ladykatherin subhashghai
ghoomketu,an aspir writer from a small town in u p run away to mumbai he give himself 30 day to tri and prove his worth comedi drama nawazuddinsiddiqui raginikhanna richachadha anuragkashyap ilaarun ghoomketu jankidevi pagaliya inspectorbadlani santobua pushpendranathmisra
love breakups zindagi,a coupl and mani of their friend experi chang and challeng in their respect live after attend a wed comedi romanc zayedkhan diamirza cyrussahukar tiscachopra pallavisharda jaimalhotra nainakapoor govind sheilathappar radhika sahilsangha
bangistan,two blunder terrorist with lofti ideolog but ordinari talent on a mission to chang the world comedi drama riteshdeshmukh pulkitsamrat rajeshsharma zacharycoffin tomalt hafeezbinali ishwarchandsharma praveenchaturvedi allahrakhakhan stanislavthecop imam rohitsharma riteshsidhwani
qahar,inspector amar face a dilemma when he catch two crimin raja and krishna who are also battl corrupt and crime in their respect way sunnydeol sunielshetti armankoh sonalibendr deeptibhatnagar rajkumarkoh
naksha,20 year after the death of an archaeologist kapil malhotra his younger son vicki attempt to uncov his father s mission with the help of an ancient map action adventur sunnydeol vivekoberoi sameerareddi jackieshroff veermalhotra vickymalhotra riya baali sachinbajaj akshaybajaj
ek paheli leela,it is a reincarn stori about the love between leela and her lover which is left incomplet becaus one of them has been murder the stori come to circl after 300 long year when leela has taken birth as meera and her lover s charact is also reborn romanc music thriller jealousi princ reincarn model sunnyleon rajneeshdugg rahuldev mohitahlawat jaybhanushali leela meera
khel,widow sulakshana devi is a wealthi industrialist and live a veri wealthi though hectic lifestyl with her onli son ravi and nephew balwant while return from oversea she is told that ravi has met with an accid and has been kill this news doe devast her but she soon recov then year later she meet with a young man arun kumar who was abl to retriev her purs from a thief sulakshana find out that he is unemploy and has not eaten for day she decid to hire him not know that arun is a actual a con man who will do his best to woo her to inherit her estat and crore of rupe sulakshana also doe not know that ravi did not die accident but was kill by someon who sabotag his car thing will get more complic when a woman name seema and her uncl enter her life for a devious reason comedi anilkapoor madhuridixit premchopra anupamkh sonuwalia arun seema balwant seema suncl tarajaisingh rakeshroshan
wajah tum ho,a hood vigilant is broadcast murder on a news channel will the polic catch him aliv befor he live cast anoth death drama mysteri romanc thriller murder sharmanjoshi rajneeshdugg sanakhaan gurmeetchoudhari prarthanabeher kabirdeshmukh rahuloberoi siya ranbirbajaj rajni vishalpandya bhushankumar
